一	one	eins
恩 因✽ 心	grace	Gunst
応 广 心 應❄	apply	erwidern
意 音 心	idea	Wille
臆 月➞肉 意✽	cowardice	zagen
恵 一 申 心 惠❄	favor	Gnade
息 自 心	breath	Atem
憩 舌 息	recess	Rast
想 相✽ 心	concept	Idee
恐 工 凡 心	fear	Furcht
惑 或✽ 心	beguile	unsicher
感 咸✽ 心	emotion	Gefühl
憂 百 冖 心 夂	melancholy	Trübsinn
寡 宀 自 分	widow	verwitwet
忙 忄➞心 亡✽	busy	beschäftigt
悦 忄➞心 兌✽	ecstasy	Entzücken
恒 忄➞心 亘✽ 恆❄	constancy	beständig
悼 忄➞心 卓✽	lament	beklagen
悟 忄➞心 吾✽	enlightenment	Erleuchtung
怖 忄➞心 布✽	dreadful	schrecklich
慌 忄➞心 荒✽	disconcerted	überstürzt
悔 忄➞心 毎✽ 悔❄	repent	bereuen
憎 忄➞心 曽✽ 憎❄	hate	hassen
慣 忄➞心 貫✽	accustomed	Gewohnheit
愉 忄➞心 兪✽	pleasure	Vergnügen
惰 忄➞心 左 月➞肉 隋	lazy	faul
慎 忄➞心 真✽ 愼❄	humility	Mäßigung
憾 忄➞心 感✽	remorse	Bedauern
憶 忄➞心 意✽	recollection	Gedächtnis
惧 忄➞心 具✽ 懼❄	disquieting	bange
憧 忄➞心 童✽	yearn	Drang
憬 忄➞心 景✽	hanker	schmachten
慕 莫✽ ⺗➞心	pining	Sehnsucht
添 氵➞水 忝✽ 天✽ ⺗➞心	annexed	beifügen
必 心 丿	invariably	zwangsläufig
泌 氵➞水 必✽	ooze	absondern
手	hand	Hand
看 龵➞手 目	watch over	beobachten
抹 扌➞手 末✽	rub	streichen
拭 扌➞手 式✽	wipe	wegwischen
拉 扌➞手 立✽	yank	zerdrücken
抱 扌➞手 包✽	embrace	hegen
抗 扌➞手 亢✽	confront	sich widersetzen
批 扌➞手 比✽	criticism	Kritik
招 扌➞手 召✽	beckon	herbeiwinken
拓 扌➞手 石✽	clear the land	urbar machen
拍 扌➞手 白✽	clap	klatschen
打 扌➞手 丁✽	strike	schlagen
拘 扌➞手 句✽	arrest	verhaften
拐 扌➞手 口 刀	kidnap	entführen
摘 扌➞手 啇✽	pinch	Prise
挑 扌➞手 兆✽	challenge	herausfordern
指 扌➞手 旨✽	finger	Finger
持 扌➞手 寺✽	hold	halten
拶 扌➞手 巛 夕	imminent	bevorstehen
括 扌➞手 舌✽	fasten	zusammenbinden
揮 扌➞手 軍✽	brandish	schwingen
推 扌➞手 隹✽	conjecture	vermuten
揚 扌➞手 昜✽	hoist	hissen
提 扌➞手 是✽	propose	vorlegen
損 扌➞手 員	damage	Schaden
拾 扌➞手 合	pick up	auflesen
捨 扌➞手 舎✽	discard	wegwerfen
搭 扌➞手 荅✽	board	einsteigen
担 扌➞手 旦✽ 擔❄	shouldering	schultern
拠 扌➞手 処✽ 據❄	foothold	Basis
描 扌➞手 苗✽	sketch	zeichnen
操 扌➞手 喿✽	maneuver	steuern
接 扌➞手 妾✽	touch	berühren
掲 扌➞手 曷✽ 揭❄	put up a notice	Aushang
抄 扌➞手 少✽	extract	Auszug
捗 扌➞手 歩	make headway	vorankommen
掛 扌➞手 卦✽	hang	hängen
揃 扌➞手 前	muster	vollständig
我 手 ⼽➞戈	ego	Ego
義 羊 我✽	righteousness	Gerechtigkeit
議 訁➞言 義✽	deliberation	Besprechung
犠 牜➞牛 義✽ 犧❄	sacrifice	Opfer
摩 ⿇✽➞麻 手	chafe	reiben
磨 ⿇✽➞麻 石	grind	polieren
歴 ⿇➞麻 厤✽ 止 歷❄	curriculum	Zeitablauf
暦 ⿇➞麻 厤✽ 日 曆❄	calendar	Kalender
研 ⽯➞石 开➞幵✽ 硏❄	polish	schleifen
刑 开➞井✽ 刂➞刀	punish	Strafe
型 刑✽ 土	mould	Gussform
弄 王➞玉 廾	tinker with	herumspielen mit
戒 ⼽➞戈 廾	commandment	Gebot
械 ⽊➞木 戒✽	contraption	Apparat
鼻 自 畀✽	nose	Nase
才 一 亅 丿	genius	Genie
財 ⾙➞貝 才✽	property	Vermögen
材 ⽊➞木 才✽	lumber	Baumaterial
存 才 子	suppose	existieren
在 才 土	exist	sein
乃 丿	from	des
携 扌➞手 隽✽ 攜❄	portable	tragbar
及 丿 又	reach out	sich erstrecken
吸 ⼝➞口 及✽	suck	saugen
扱 扌➞手 及✽	handle	behandeln
丈 一 乂	length	Länge
史 口 乂	history	Historie
吏 丈 口	officer	Beamter
更 一 日 乂	grow late	spät werden
硬 ⽯➞石 更✽	stiff	starr
梗 ⽊➞木 更✽	spiny	zupropfen
又	or again	einmal mehr
双 又 又 雙❄	pair	Paar
桑 又 又 又 木	mulberry	Maulbeerbaum
隻 隹 又	vessels	Seefahrzeuge
護 訁➞言 蒦✽	safeguard	schützen
獲 ⺨➞犬 蒦✽	seize	erbeuten
奴 ⼥✽➞女 又	guy	Kerl
怒 奴✽ 心	angry	wütend
友 又	friend	Freund
抜 扌➞手 友✽ 拔❄	slip out	herausziehen
投 扌➞手 殳✽	throw	werfen
没 氵➞水 殳 沒❄	drown	untergehen
股 月➞肉 殳	thigh	Schenkel
設 訁➞言 殳	establishment	einrichten
撃 車 殳 手 擊❄	beat	Abschuss
殻 ⼠➞士 冗 殳 壳✽ 殼❄	husk	Hülse
支 十 又	branch	Zweig
枝 ⽊➞木 支✽	bough	Ast
肢 月➞肉 支✽	limb	Gliedmaßen
技 扌➞手 支✽	skill	Technik
茎 艹➞艸 圣 巠✽ 莖❄	stalk	Stengel
怪 忄➞心 圣✽	suspicious	verdächtig
軽 ⾞➞車 圣✽ 輕❄	lightly	leicht
叔 尗✽ 又	uncle	Onkel
督 叔✽ 目	coach	Aufseher
寂 宀 叔✽	loneliness	Einsamkeit
淑 氵➞水 叔✽	graceful	anmutig
反 厂 又	anti-	anti-
坂 ⼟➞土 反✽ 阪❄	slope	Abhang
板 ⽊➞木 反✽	plank	Brett
販 ⾙➞貝 反✽	marketing	veräußern
返 反✽ ⻌➞辶	return	zurück
爪 丿	claw	Kralle
妥 ⺤➞爪 女	gentle	zufrieden
乳 孚✽ 乚➞乙	milk	Milch
浮 氵➞水 孚✽	floating	dahintreiben
淫 氵➞水 㸒✽ ⺤➞爪 壬	lewd	lüstern
将 ⺦➞爿✽ ⺤➞爪 寸 將❄	leader	Kommandeur
奨 将✽ 大 奬❄	exhort	fördern
采 ⺤➞爪 木	grab	sich schnappen
採 扌➞手 采✽	pick	pflücken
菜 艹➞艸 采✽	vegetable	Gemüse
受 ⺤➞爪 冖➞舟✽ 又	accept	annehmen
授 扌➞手 受✽	impart	Verleihung
愛 ⺤➞爪 冖 心 夂	love	Liebe
曖 ⽇➞日 愛✽	unclear	schummrig
払 扌➞手 厶 拂❄	pay	bezahlen
勾 勹 厶	hooked	gekrümmt
広 广 厶✽ 廣❄	wide	breit
拡 扌➞手 広✽ 擴❄	broaden	erweitern
鉱 釒➞金 広✽ 鑛❄	mineral	Mineral
雄 厷✽ 隹	male	männlich
宏 宀 厷✽	extensive	Weite
弁 厶 廾 辨❄	valve	Klappe
台 厶✽ 口 臺❄	pedestal	Sockel
怠 台✽ 心	neglect	vernachlässigen
治 氵➞水 台✽	reign	regieren
冶 冫 台	metallurgy	Metallurgie
始 ⼥➞女 台✽	commence	beginnen
胎 月➞肉 台✽	womb	Mutterleib
窓 ⽳➞穴 厶 心	window	Fenster
去 土 厶	gone	fort
法 氵➞水 去	method	Gesetz
会 亼 云 會❄	meeting	Zusammenkunft
至 厶 土	climax	erreichen
室 宀 至✽	room	Zimmer
到 ⾄➞至 刂➞刀✽	arrival	ankommen
致 ⾄➞至✽ 攵➞攴	doth	herbeiführen
互 二 彑	mutually	gegenseitig
充 𠫓 儿	allot	füllen
銃 釒➞金 充✽	gun	Gewehr
流 氵➞水 㐬✽	current	Strömung
硫 ⽯➞石 㐬✽	sulfur	Schwefel
棄 𠫓 丗 木	abandon	verwerfen
育 𠫓 月➞肉	bring up	aufziehen
撤 扌➞手 育 攵➞攴 徹✽	remove	zurückziehen
出 山 凵	exit	hinaus-
拙 扌➞手 出✽	bungling	ungeschickt
山	mountain	Berg
岩 山 石	boulder	Felsen
炭 山 灰	charcoal	Holzkohle
崩 山 朋✽	crumble	zerfallen
嵐 山 風	storm	Sturm
崖 山 厓✽	bluffs	Steilhang
岐 ⼭➞山 支✽	branch off	Abzweigung
峠 ⼭➞山 上 下	mountain pass	Gebirgspass
崎 ⼭➞山 奇✽	promontory	Vorgebirge
密 宓✽ 山	secrecy	heimlich
蜜 宓✽ 虫	honey	Honig
入	enter	hinein-
込 入 ⻌➞辶	crowded	gedrängt
分 八 刀	part	Teil
雰 ⻗➞雨 分✽	atmosphere	Atmosphäre
貧 分✽ 貝	poverty	arm
頒 分✽ 頁	partition	verteilen
公 八 厶	public	öffentlich
松 ⽊➞木 公✽	pine tree	Kiefer
翁 公✽ 羽	venerable old man	Greis
訟 訁➞言 公✽	sue	verklagen
谷 八 𠆢➞人 口	valley	Tal
欲 ⾕➞谷✽ 欠	longing	begehren
浴 氵➞水 谷✽	bathe	baden
裕 衤➞衣 谷✽	abundant	Überfluss
容 宀 谷✽	contain	Inhalt
溶 氵➞水 容✽	melt	schmelzen
鉛 釒➞金 㕣✽	lead (metal)	Blei
沿 氵➞水 㕣✽	run alongside	entlang verlaufen
党 尚✽ 儿 黨❄	party	Partei
堂 尚✽ 土	hall	Halle
常 尚✽ 巾	usual	üblich
賞 尚✽ 貝	prize	Auszeichnung
掌 尚✽ 手	manipulate	Handfläche
皮 又	pelt	Pelz
被 衤➞衣 皮✽	incur	sich etwas zuziehen
披 扌➞手 皮✽	expose	eröffnen
破 ⽯➞石 皮✽	rend	zerreißen
波 氵➞水 皮✽	waves	Welle
婆 波✽ 女	old woman	Greisin
残 歹 戋➞戔✽ 殘❄	remainder	Rest
殉 歹 旬✽	martyrdom	Martyrium
殊 歹 朱✽	particularly	insbesondere
殖 歹 直✽	augment	vermehren
列 歹 刂➞刀	file	Zug
裂 列✽ 衣	split	spalten
烈 列✽ 灬➞火	ardent	entbrannt
死 歹 匕	death	Tod
葬 艹➞艸 死 廾	interment	Beerdigung
瞬 ⽬➞目 舜✽	wink	blinzeln
耳	ear	Ohr
恥 ⽿✽➞耳 心	shame	Scham
職 ⽿➞耳 戠✽ 識 織	post	Posten
敢 丅 耳 攵➞攴	daring	kühn
取 ⽿➞耳 又	take	nehmen
趣 ⾛➞走 取✽	gist	Sinngehalt
最 日 取	utmost	äußerst
撮 扌➞手 最✽	snapshot	knipsen
聖 耳 口 王➞玉 呈	holy	heilig
聴 ⽿➞耳 悳✽ 徳 聽❄	listen	horchen
壊 ⼟➞土 褱✽ 壞❄	demolition	zerstören
懐 忄➞心 褱✽ 懷❄	pocket	Nostalgie
慢 忄➞心 曼✽	ridicule	spöttisch
漫 氵➞水 曼✽	loose	unbekümmert
買 罒➞网 貝	buy	kaufen
置 罒➞网 直✽	placement	plazieren
罰 罒➞网 言 刂➞刀	penalty	ahnden
寧 寍✽ 丁	rather	eher
濁 氵➞水 蜀✽	voiced	trübe
環 ⺩➞玉 睘✽	ring	Ring
還 睘✽ ⻌➞辶	send back	zurückversetzen
夫 大	husband	Ehemann
扶 扌➞手 夫✽	aid	Unterhalt
規 夫 見	standard	Norm
賛 夫 夫 貝 贊❄	approve	preisen
替 夫 夫 日	exchange	umtauschen
潜 氵➞水 替 潛❄	submerge	untertauchen
渓 氵➞水 奚✽ 溪❄	mountain stream	Gebirgsbach
失 丿 夫	lose	verlieren
鉄 釒➞金 失✽ 鐵❄	iron	Eisen
迭 失✽ ⻌➞辶	alternate	abwechseln
臣	retainer	Gefolgsmann
姫 ⼥➞女 臣✽	princess	Prinzessin
蔵 艹➞艸 厂 臧✽ 藏❄	storehouse	Depot
臓 月➞肉 蔵✽ 臟❄	entrails	Eingeweide
堅 臤✽ 土	strict	solide
賢 臤✽ 貝	intelligent	intelligent
腎 臤✽ 月➞肉	kidney	Niere
臨 臣 𠂉 品✽	look to	entgegensehen
覧 監✽ 見 覽❄	perusal	besichtigen
巨 匚 二	gigantic	riesig
拒 扌➞手 巨✽	repel	abweisen
力	power	Kraft
男 田 力	man	Mann
労 ⺍ 冖 力 勞❄	labor	Mühe
努 奴✽ 力	toil	sich anstrengen
募 莫✽ 力	recruit	anwerben
劣 少 力	inferiority	minderwertig
功 ⼯✽➞工 力	achievement	verdienstvoll
勧 隹➞雚✽ 力 勸❄	persuade	aufmuntern
勃 孛✽ 力	uprising	sich aufrichten
励 厂 万 力 厲✽ 勵❄	encourage	anspornen
加 力 口	add	hinzufügen
賀 加✽ 貝	congratulations	Gratulation
架 加✽ 木	erect	installieren
協 十 劦✽ 力	co-	ko-
脇 月➞肉 劦✽ 力	armpit	Flanke
脅 劦✽ 月➞肉 力	threaten	bedrohen
行 彳 亍	going	gehen
律 彳 聿✽	rhythm	Rhythmus
復 彳 复✽	restore	wiederherstellen
得 彳 㝵✽ 旦 寸	gain	Nutzen
征 彳 正✽	subjugate	unterwerfen
従 彳 丷 正 從❄	accompany	folgen
徒 彳 走 土✽	junior	Pennäler
待 彳 寺	wait	warten
往 彳 主	journey	Fahrt
径 彳 圣 巠✽ 徑❄	diameter	Durchmesser
役 彳 殳	duty	Dienst
彼 彳 皮✽	he	er
徳 彳 悳✽ 聴 德❄	benevolence	Tugend
徹 彳 育 攵➞攴 撤✽	penetrate	durchdringen
微 彳 山 兀 攵➞攴	delicate	winzig
徴 彳 山 王➞玉 攵➞攴 徵❄	indications	Anzeichen
懲 徴✽ 心 懲❄	penal	Sanktion
桁 ⽊➞木 行	girder	Tragbalken
街 ⾏➞行 圭✽	boulevard	Boulevard
衡 ⾏✽➞行 角 大	equilibrium	Gleichgewicht
術 ⾏➞行 朮✽	art	Fertigkeit
述 朮✽ ⻌➞辶	mention	erwähnen
和 ⽲✽➞禾 口	harmony	Harmonie
私 ⽲➞禾 厶✽	private	privat
稿 ⽲➞禾 高✽	draft	Manuskript
稼 ⽲➞禾 家✽	earnings	Einkünfte
程 ⽲➞禾 呈✽	extent	Ausmaß
税 ⽲➞禾 兌✽	tax	Steuern
稚 ⽲➞禾 隹	immature	kindlich
移 ⽲➞禾 多✽	shift	verlagern
秒 ⽲➞禾 少	second	Sekunde
称 ⽲➞禾 尓 爯✽ 稱❄	appellation	Bezeichnung
秩 ⽲➞禾 失✽	regularity	Ordnung
秋 ⽲➞禾 火	autumn	Herbst
愁 秋✽ 心	distress	Kummer
秘 ⽲➞禾 必✽ 祕❄	secret	Geheimnis
利 ⽲➞禾 刂➞刀	profit	Vorteil
梨 利✽ 木	pear tree	Birnbaum
穫 ⽲➞禾 蒦✽	harvest	Ernte
穂 ⽲➞禾 恵 穗❄	ear of a plant	Ähre
稲 ⽲➞禾 ⺤➞爪 旧 稻❄	rice plant	Reispflanze
稽 ⽲➞禾 尤 旨	training	Übung
香 禾 日	incense	Weihrauch
季 禾 子	seasons	Jahreszeit
委 禾 女	committee	Komitee
秀 禾 乃	excel	übertreffen
透 秀 ⻌➞辶	transparent	durchsichtig
誘 訁➞言 秀✽	entice	verleiten
穀 殻✽ 禾 穀❄	cereals	Getreide
菌 艹➞艸 囷✽ 囗 禾	germ	Bakterie
萎 艹➞艸 委✽	numb	schlaff
米	rice	Reis
粉 ⽶➞米 分✽	flour	Mehl
粘 ⽶➞米 占✽	sticky	klebrig
粒 ⽶➞米 立✽	grains	Korn
粧 ⽶➞米 庄✽	cosmetics	schminken
粋 ⽶➞米 卆➞卒✽ 粹❄	chic	chic
糧 ⽶➞米 量✽	provisions	Proviant
迷 米✽ ⻌➞辶	astray	verirrt
謎 訁➞言 迷✽	riddle	Rätsel
菊 艹➞艸 匊✽ 勹 米	chrysanthemum	Chrysantheme
奥 丿 冂 米 大 奧❄	core	Tiefe
数 米 女 攵➞攴 婁✽ 數❄	number	Zahl
楼 ⽊➞木 米 女 婁✽ 樓❄	watchtower	Wachturm
類 米 大 頁 類❄	sort	Sorte
漆 氵➞水 桼✽ 木 氺➞水	lacquer	Lack
膝 月➞肉 桼✽ 木 氺➞水	knee	Knie
様 ⽊➞木 羊✽ 氺➞水 樣❄	Esq.	Gnädigste
求 一 氺➞水 丶	request	fordern
球 ⺩➞玉 求✽	ball	Ball
救 求✽ 攵➞攴	salvation	retten
竹	bamboo	Bambus
笹 ⺮➞竹 世	bamboo grass	Bambusgras
笠 ⺮➞竹 立✽	bamboo hat	Bambushut
笑 ⺮➞竹 夭✽	laugh	lachen
筆 ⺮➞竹 聿✽	writing brush	Schreibpinsel
箋 ⺮➞竹 戔✽	stationary	Briefpapier
箱 ⺮➞竹 相✽	box	Schachtel
筋 ⺮➞竹 肋	muscle	Muskel
箇 ⺮➞竹 固✽	item	Gegenstand
筒 ⺮➞竹 同✽	cylinder	Röhre
等 ⺮➞竹 寺	etc.	usw.
算 ⺮➞竹 目 廾	calculate	rechnen
答 ⺮➞竹 合✽	solution	Antwort
策 ⺮➞竹 朿	scheme	Strategie
簿 ⺮➞竹 溥✽	register	Verzeichnis
籠 ⺮➞竹 龍✽  篭	basket	Käfig
築 筑✽ 木	fabricate	bauen
人	person	Mensch
佐 亻➞人 左✽	assistant	Assistent
侶 亻➞人 呂✽	partner	Partner
但 亻➞人 旦✽	however	jedoch
住 亻➞人 主✽	dwell	wohnen
位 亻➞人 立	rank	Rang
仲 亻➞人 中✽	go-between	Verhältnis
休 亻➞人 木	rest	ausruhen
体 亻➞人 本 體❄	body	Körper
件 亻➞人 牛	affair	Angelegenheit
仕 亻➞人 士✽	attend	bedienen
他 亻➞人 也 它✽	other	anderes
伏 亻➞人 犬	prostrated	sich niederwerfen
仏 亻➞人 厶 佛❄	Buddha	Buddha
伝 亻➞人 云 傳❄	transmit	übermitteln
伎 亻➞人 支✽	performing artist	Bühnenkünstler
仮 亻➞人 反 叚✽ 假❄	provisional	vorläufig
倍 亻➞人 咅✽	double	doppelt
伯 亻➞人 白✽	chief	Graf
俗 亻➞人 谷✽	vulgar	volkstümlich
信 亻➞人 言	faith	Glaube
佳 亻➞人 圭✽	excellent	exzellent
依 亻➞人 衣✽	reliant	abhängig
側 亻➞人 則✽	side	Seite
例 亻➞人 列✽	example	Beispiel
倒 亻➞人 到✽	overthrow	umstürzen
倣 亻➞人 放✽	emulate	nacheifern
傲 亻➞人 敖✽	arrogance	Arroganz
個 亻➞人 固✽	individual	Individuum
健 亻➞人 建✽	healthy	gesund
値 亻➞人 直✽	price	Preis
侍 亻➞人 寺✽	waiter	aufwarten
停 亻➞人 亭✽	halt	anhalten
偵 亻➞人 貞✽	spy	auskundschaften
僧 亻➞人 曽✽ 僧❄	Buddhist priest	buddhistischer Priester
億 亻➞人 意✽	hundred million	hundert Millionen
儀 亻➞人 義✽	ceremony	Zeremonie
償 亻➞人 賞✽	reparation	Wiedergutmachung
仙 亻➞人 山✽	hermit	Einsiedler
催 亻➞人 崔✽	sponsor	veranstalten
仁 亻➞人 二✽	humanity	Menschlichkeit
侮 亻➞人 毎✽ 侮❄	scorn	verachten
使 亻➞人 吏✽	use	benutzen
便 亻➞人 更	convenience	Bequemlichkeit
優 亻➞人 憂✽	tenderness	liebenswürdig
悠 攸✽ 心	remote	gelassen
宿 宀 佰	inn	Herberge
傷 亻➞人 𠂉 昜✽	wound	Wunde
保 亻➞人 呆✽	protect	bewahren
褒 衣 保✽ 襃❄	praise	loben
傑 亻➞人 桀✽	greatness	meisterhaft
付 亻➞人 寸	adhere	anhaften
符 ⺮➞竹 付✽	token	Zeichen
府 广 付✽	municipality	Stadtpräfektur
伐 亻➞人 戈	fell	fällen
代 亻➞人 弋✽	substitute	Ersatz
袋 代✽ 衣	sack	Sack
貸 代✽ 貝	lend	Verleih
化 亻➞人 匕	change	verwandeln
花 艹➞艸 化✽	flower	Blume
貨 化✽ 貝	freight	Fracht
任 亻➞人 壬✽	responsibility	Verantwortung
賃 任✽ 貝	fare	Fahrgeld
傾 亻➞人 頃✽	lean	sich neigen
何 亻➞人 可✽	what	was
荷 艹➞艸 何✽	baggage	Gepäck
傍 亻➞人 旁✽	bystander	Außenstehender
俺 亻➞人 奄✽	myself	icke
久 𠂊➞勹	long time	lange Zeit
畝 亠 田 久	furrow	Furche
内 冂 人	inside	innerhalb
丙 一 内✽	third class	drittklassig
柄 ⽊➞木 丙✽	design	Gestaltung
肉 内 人	meat	Fleisch
腐 府✽ 肉	rot	verfaulen
座 广 坐✽	sit	sitzen
挫 扌➞手 坐✽	sprain	verstauchen
卒 亠 从 十 率✽	graduate	Abschluss
傘 𠆢➞人 从 从 十	umbrella	Schirm
以 丶 人	by means of	mittels
似 亻➞人 以✽	similar	ähnlich
併 亻➞人 并✽ 倂❄	join	zusammenfügen
瓦 丶	tile	Ziegel
瓶 并✽ 瓦 甁❄	flower pot	Flasche
宮 宀 呂	Shinto shrine	Shinto-Schrein
営 ⺍ 冖 呂 營❄	occupation	Betrieb
善 羊 䒑 口	virtuous	das Gute
膳 月➞肉 善✽	dining tray	Esstischchen
年 丿 干	year	Jahr
夜 亠 亻➞人 夕 夂	night	Nacht
液 氵➞水 夜✽	fluid	Flüssigkeit
塚 ⼟➞土 冢✽ 塚❄	hillock	Haufen
幣 敝✽ 㡀 攵 巾	cash	Geldschein
弊 敝✽ 㡀 攵 廾	abuse	Unsitte
蔽 艹➞艸 敝✽ 㡀 攵	cover over	bedecken
喚 ⼝➞口 奐✽	yell	kreischen
換 扌➞手 奐✽	interchange	wechseln
融 鬲 虫✽	dissolve	auflösen
施 斿 也✽	alms	Almosen
旋 斿 疋	rotation	Drehung
旅 斿✽ 𠂢	trip	Reise
遊 斿✽ ⻌➞辶	play	spielen
物 牜➞牛 勿✽	thing	Ding
易 日 勿 昜	easy	Leichtigkeit
賜 ⾙➞貝 易✽	grant	gewähren
尿 ⼫➞尸 水	urine	Urin
尻 ⼫➞尸 九	buttocks	Gesäß
尼 ⼫➞尸 匕	nun	Nonne
泥 氵➞水 尼✽	mud	Schlamm
塀 ⼟➞土 屏✽ 并✽ 塀❄	fence	Zaun
履 ⼫➞尸 復	footgear	Fußbekleidung
屋 ⼫➞尸 至	roof	Dach
握 扌➞手 屋✽	grip	greifen
屈 ⼫➞尸 出✽	yield	sich beugen
掘 扌➞手 屈✽	dig	graben
堀 ⼟➞土 屈✽	ditch	Graben
居 ⼫➞尸 古✽	reside	sich aufhalten
据 扌➞手 居✽	set	aufstellen
裾 衤➞衣 居✽	hem	Saum
層 ⼫➞尸 曽✽ 層❄	stratum	Schicht
局 ⼫➞尸 句	bureau	Behörde
遅 尸 羊 ⻌➞辶 遲❄	slow	verspätet
漏 氵➞水 屚✽	leak	Leck
刷 尸 巾 刂➞刀	printing	drucken
尺 尸	shaku	Shaku
尽 尺 冫 盡❄	exhaust	aufbrauchen
沢 氵➞水 尺➞睪✽ 澤❄	swamp	Sumpf
訳 訁➞言 尺➞睪✽ 譯❄	translate	übersetzen
択 扌➞手 尺➞睪✽ 擇❄	choose	auswählen
昼 尺 旦 晝❄	daytime	tagsüber
戸	door	Tür
肩 戸 月➞肉	shoulder	Schulter
房 戸 方✽	tassel	Büschel
扇 戸 羽	fan	Fächer
雇 戸✽ 隹	employ	Anstellung
顧 雇✽ 頁	look back	zurückblicken
戻 戸 大 戾❄	re-	zurückbringen
涙 氵➞水 戻✽ 淚❄	tears	Träne
炉 ⽕➞火 戸➞盧✽ 爐❄	hearth	Herd
啓 戸 攵 口	disclose	offenbaren
示 二 小	show	zeigen
礼 礻➞示 乚➞乙 禮❄	salutation	Dank
祥 礻➞示 羊✽ 祥❄	auspicious	verheißungsvoll
祝 礻➞示 兄 祝❄	celebrate	feiern
福 礻➞示 畐✽ 福❄	blessing	Segen
祉 礻➞示 止✽ 祉❄	welfare	Wohlfahrt
社 礻➞示 土✽ 社❄	company	Gesellschaft
視 礻✽➞示 見 視❄	inspection	betrachten
奈 ⼤➞大 示	Nara	Nara
尉 尸 示 寸	military officer	Offizier
慰 尉✽ 心	consolation	trösten
禁 林 示	prohibition	Verbot
襟 衤➞衣 禁✽	collar	Kragen
宗 宀 示	religion	Religion
崇 山 宗✽	adore	verehren
祭 月➞肉 又 示	ritual	Ritual
察 宀 祭✽	guess	raten
擦 扌➞手 察✽	grate	schrammen
由 田	wherefore	beruhen auf
抽 扌➞手 由✽	pluck	Ziehung
油 氵➞水 由✽	oil	Öl
袖 衤➞衣 由	sleeve	Ärmel
宙 宀 由✽	mid-air	schwebend
届 ⼫➞尸 由 凷✽ 屆❄	deliver	benachrichtigen
笛 ⺮➞竹 由 龠❄	flute	Flöte
軸 ⾞➞車 由✽	axis	Achse
甲 日 丨	armor	Panzerung
岬 ⼭➞山 甲✽	headland	Landzunge
押 扌➞手 甲✽	push	drücken
挿 扌➞手 扱✽ 臿✽ 插❄	insert	einfügen
申 日➞𦥑 丨	speaketh	sich äußern
伸 亻➞人 申✽	expand	sich recken
神 礻➞示 申✽ 神❄	gods	Gottheit
捜 扌➞手 叟✽ 搜❄	search	suchen
果 日 木	fruit	Obst
菓 艹➞艸 果✽	confectionary	Naschwerk
課 訁➞言 果✽	chapter	Lektion
裸 衤➞衣 果✽	naked	nackt
斤	ax	Axt
析 ⽊➞木 斤	chop	auseinander nehmen
所 戸✽ 斤	place	Stelle
祈 礻➞示 斤✽ 祈❄	pray	beten
近 斤✽ ⻌➞辶	near	nah
折 扌➞手 斤	fold	falten
哲 折✽ 口	philosophy	Philosophie
逝 折✽ ⻌➞辶	departed	ableben
誓 折✽ 言	vow	schwören
質 斦✽ 貝	substance	Substanz
斬 ⾞➞車 斤	chop off	abschlagen
暫 斬✽ 日	temporarily	vorübergehend
漸 氵➞水 斬✽	steadily	allmählich
断 米 斤 斷❄	severance	abschneiden
斥 斤 丶	reject	ablehnen
訴 訁➞言 斥	accusation	Anklage
詐 訁➞言 乍✽	lie	lügen
作 亻➞人 乍✽	make	machen
昨 ⽇➞日 乍✽	yesterday	gestern
臼	mortar	Mörser
毀 臼 土 殳	break	kaputt machen
録 釒➞金 隶➞彔✽ 錄❄	record	aufzeichnen
剥 隶➞彔✽ 刂➞刀	peel off	schälen
尋 彐➞彑 工 口 寸✽	inquire	sich erkundigen
急 𠂊➞勹 彐➞彑 心 及✽	hurry	eilig
争 𠂊➞勹 ⺕➞彑 亅 爭❄	contend	streiten
浄 氵➞水 争✽ 淨❄	clean	sauber
穏 ⽲➞禾 㥯✽ 穩❄	calm	Stille
侵 亻➞人 彐➞彑 冖 又	encroach	eindringen
浸 氵➞水 侵✽	immersed	eintauchen
寝 宀 ⺦➞爿 侵✽ 寢❄	lie down	sich hinlegen
婦 ⼥➞女 帚 夫✽	lady	Dame
掃 扌➞手 帚✽	sweep	fegen
妻 ⺕➞彑 女	wife	Ehefrau
凄 冫 妻	nifty	verblüffend
彙 彑 冖 果	glossary	Glossar
事 口 ⺕➞彑 亅 史✽	matter	Sache
唐 广 ⺕➞彑 口	T'ang	Tang-Dynastie
糖 ⽶➞米 唐✽	sugar	Zucker
款 士 示 欠	goodwill	Wohlwollen
隷 士 示 隶 隸❄	slave	Sklave
康 广 隶 庚✽	sane	Seelenfrieden
逮 隶✽ ⻌➞辶	apprehend	festnehmen
伊 亻➞人 尹	Italy	Italien
君 尹✽ 口	old boy	du
群 君✽ 羊	flock	Herde
耐 而✽ 寸	-proof	-fest
需 ⻗➞雨 而	demand	Nachfrage
儒 亻➞人 需✽	Confucian	Konfuzianismus
端 ⽴➞立 耑✽	edge	Rand
両 一 冂 山 㒳 兩❄	both	beide
満 氵➞水 廾 両 滿❄	full	voll
画 一 由 凵 畫❄	brush-stroke	Pinselstrich
歯 止✽ 米 凵 齒❄	tooth	Zahn
曲 日➞曰 廾	bend	biegen
