一	one	eins
時 ⽇➞日 寺✽	time	Zeit
火	fire	Feuer
炎 火 火	inflammation	Entzündung
淡 氵➞水 炎✽	thin	blass
煩 ⽕➞火 頁	anxiety	Sorgen
灯 ⽕➞火 丁✽ 燈❄	lamp	Lampe
畑 ⽕➞火 田	farm	Acker
災 巛✽ 火	disaster	Katastrophe
灰 厂 火	ashes	Asche
点 占✽ 灬➞火 點❄	spot	Punkt
照 昭✽ 灬➞火	illuminate	scheinen
魚 𠂊➞勹 田 灬➞火	fish	Fisch
漁 氵➞水 魚✽	fishing	Fischfang
里	ri	Ri
黒 里 灬➞火 黑❄	black	schwarz
墨 黒✽➞黑 土 墨❄	black ink	Tusche
鯉 ⿂➞魚 里	carp	Karpfen
埋 ⼟➞土 里✽	bury	begraben
厘 厂 里✽	rin	Rin
量 旦 里	quantity	Menge
同 冂 一 口	same	identisch
洞 氵➞水 同✽	den	Grotte
胴 月➞肉 同✽	trunk	Rumpf
向 丿 冂 口	yonder	gerichtet an
尚 ⺌➞小✽ 冂 口	esteem	Wertschätzung
当 ⺌➞小✽ 彐➞田 當❄	hit	treffen
字 宀 子✽	character	Schriftzeichen
守 宀 寸	guard	Wache
完 宀 元✽	perfect	vollendet
宣 宀 亘✽	proclaim	verkünden
宵 宀 肖✽	wee hours	bis in die Puppen
安 宀 女	relax	ruhig
宴 宀 妟✽	banquet	Festmahl
寄 宀 奇✽	draw near	sich nähern
富 宀 畐✽	wealth	Reichtum
貯 ⾙➞貝 宁✽	savings	Ersparnisse
木	tree	Baum
本 木	book	Buch
林 ⽊➞木 木	grove	Hain
森 木 林	forest	Wald
柏 ⽊➞木 白✽	oak	Eiche
枠 ⽊➞木 卆	frame	Rahmen
机 ⽊➞木 几✽	desk	Schreibtisch
棚 ⽊➞木 朋✽	shelf	Regal
桂 ⽊➞木 圭✽	Japanese Judas-tree	Katsura
桐 ⽊➞木 同✽	paulownia	Paulownie
植 ⽊➞木 直✽	plant	pflanzen
椅 ⽊➞木 奇✽	chair	Stuhl
枯 ⽊➞木 古✽	wither	verdorren
朴 ⽊➞木 卜✽	crude	schlicht
札 ⽊➞木 乚➞乙	tag	Etikett
村 ⽊➞木 寸✽	town	Dorf
相 ⽊➞木 目	inter-	einander
杏 木 口	apricot	Aprikose
呆 口 木	dumbfounded	sprachlos
案 安✽ 木	plan	Vorhaben
燥 ⽕➞火 喿✽ 品 木	parch	dörren
末 木 一	extremity	schließlich
未 木 一➞屮	not yet	noch nicht
味 ⼝➞口 未✽	flavor	Geschmack
昧 ⽇➞日 未✽	obscure	unklar
妹 ⼥➞女 未✽	younger sister	jüngere Schwester
朱 丿 未	vermilion	zinnoberrot
株 ⽊➞木 朱✽	stocks	Aktie
草 艹➞艸 早✽	grass	Gras
苗 艹➞艸 田	seedling	Setzling
若 艹➞艸 右	young	jung
苦 艹➞艸 古✽	suffering	leiden
苛 艹➞艸 可✽	bullying	Schikane
薄 艹➞艸 溥✽ 氵➞水 尃	dilute	verdünnen
藻 艹➞艸 澡✽ 氵➞水 喿✽	seaweed	Seetang
葉 艹➞艸 世 木	leaf	Laub
寛 宀 莧✽ 寬❄	tolerant	nachsichtig
墓 莫✽ 土	grave	Grab
暮 莫✽ 日	livelihood	Lebensunterhalt
模 ⽊➞木 莫✽	imitation	Imitation
漠 氵➞水 莫✽	vague	vage
膜 月➞肉 莫✽	membrane	Membran
兆 儿➞八	portent	Vorzeichen
眺 ⽬➞目 兆✽	stare	anstarren
桃 ⽊➞木 兆✽	peach tree	Pfirsich
犬 大 丶	dog	Hund
状 ⺦➞爿✽ 犬 狀❄	status quo	die Umstände
黙 黒✽➞黑 犬 默❄	silence	schweigen
然 肰✽ 月➞肉 犬 灬➞火	sort of thing	wie ein ...
荻 艹➞艸 狄✽	reed	Schilf
狩 ⺨➞犬 守✽	hunt	jagen
猫 ⺨➞犬 苗✽ 貓❄	cat	Katze
牛	cow	Kuh
特 牜➞牛 寺	special	speziell
告 ⺧➞牛 口	revelation	Ansage
先 儿➞八	before	voran
洗 氵➞水 先✽	wash	waschen
介 𠆢➞人 丿 丨	jammed in	dazwischen
界 田 介✽	world	Welt
茶 艹➞艸 𠆢➞人 木 朩	tea	Tee
脊 人 二 二 月➞肉	spinal column	Wirbelsäule
合 亼 口	fit	passen
塔 ⼟➞土 荅✽	pagoda	Pagode
王 玉	king	König
玉 王➞玉 丶	jewel	Edelstein
宝 宀 玉 寶❄	treasure	Schatz
珠 ⺩➞玉 朱✽	pearl	Perle
現 ⺩➞玉 見✽	present	gegenwärtig
玩 ⺩➞玉 元✽	toy	Spielzeug
狂 ⺨➞犬 王➞玉✽	lunatic	verrückt
旺 ⽇➞日 王✽➞玉	effulgent	munter
皇 白 王✽➞玉	emperor	Kaiser
呈 口 王➞壬✽	display	darbieten
全 𠆢➞人 王➞玉	whole	gesamt
栓 ⽊➞木 全✽	plug	Stöpsel
理 ⺩➞玉 里✽	logic	Logik
主 丶 王➞玉	lord	Herr
注 氵➞水 主✽	pour	gießen
柱 ⽊➞木 主✽	pillar	Pfeiler
金 全	gold	Gold
鉢 釒➞金 本 朮✽	bowl	Schüssel
銅 釒➞金 同✽	copper	Kupfer
釣 釒➞金 勺✽	angling	angeln
針 釒➞金 十✽	needle	Nadel
銘 釒➞金 名✽	inscription	Inschrift
鎮 釒➞金 真✽ 鎭❄	tranquillize	beruhigen
道 首✽ ⻌➞辶	road-way	Weg
導 道✽ 寸	guidance	leiten
辻 十 ⻌➞辶	crossing	Kreuzung
迅 卂✽ ⻌➞辶	swift	rasch
造 告 ⻌➞辶	create	erschaffen
迫 白✽ ⻌➞辶	urge	bedrängen
逃 兆✽ ⻌➞辶	escape	fliehen
辺 刀✽ ⻌➞辶 邊❄	environs	Umgebung
巡 巛 ⻌➞辶	patrol	Patrouille
車	car	Wagen
連 車 ⻌➞辶	take along	mitnehmen
軌 ⾞➞車 九✽	rut	Spurrille
輸 ⾞➞車 兪✽	transport	transportieren
喩 ⼝➞口 兪✽	metaphor	Metapher
前 䒑 月➞舟 刂➞刀	in front	vor
煎 前 灬➞火	roast	rösten
冬 夂 冫	winter	Winter
各 夂 口	each	jeder
格 ⽊➞木 各✽	status	Status
賂 ⾙➞貝 各	graft	Schmiergeld
略 田 各✽	abbreviation	Abkürzung
客 宀 各✽	guest	Gast
額 客✽ 頁	forehead	Stirn
夏 一 自 夂	summer	Sommer
処 夂 几 處❄	dispose	an seinem Platz
条 夂 木 條❄	twig	Klausel
落 艹➞艸 洛✽	fall	fallen
冗 冖 几	superfluous	überflüssig
冥 冖 日 六	Hades	Unterwelt
軍 冖 車	army	Armee
輝 光 軍✽	radiance	leuchten
運 軍✽ ⻌➞辶	carry	tragen
冠 冖 元✽ 寸	crown	Krone
夢 艹➞艸 ⺫➞目 冖 夕 瞢✽	dream	Traum
坑 ⼟➞土 亢✽	pit	Grube
高 亠 口 冂 口	tall	hoch
享 高✽ 子	receive	genießen
塾 孰✽ 土	cram school	Nachhilfeschule
熟 孰✽ 灬➞火	mellow	reifen
亭 高 冖 丁✽	pavilion	Pavillon
京 高 小✽	capital	Hauptstadt
涼 氵➞水 京✽	refreshing	erfrischend
景 日 京✽	scenery	Landschaft
鯨 ⿂➞魚 京✽	whale	Wal
舎 𠆢➞人 吉 舍❄	cottage	Hütte
周 冂 吉	circumference	Umfang
週 周✽ ⻌➞辶	week	Woche
士	gentleman	Samurai
吉 ⼠➞士 口	good luck	Glück
壮 ⺦➞爿✽ 士 壯❄	robust	beste Mannesjahre
荘 艹➞艸 壮✽ 莊❄	villa	Villa
売 ⼠➞士 冖 儿➞八 買✽ 賣❄	sell	verkaufen
学 ⺍ 冖 子 學❄	study	studieren
覚 ⺍ 冖 見 覺❄	memorize	sich merken
栄 ⺍ 冖 木 榮❄	flourish	brillieren
書 聿 日 者✽	write	schreiben
津 氵➞水 聿✽	haven	Anlegeplatz
牧 牜➞牛 攵➞攴	breed	züchten
攻 工✽ 攵➞攴	aggression	angreifen
敗 ⾙✽➞貝 攵➞攴	failure	Niederlage
枚 ⽊➞木 攵➞攴	sheet of	Blatt
故 古✽ 攵➞攴	happenstance	Anlass
敬 苟 攵➞攴	awe	Ehrfurcht
言 口	say	sagen
警 敬✽ 言	admonish	verwarnen
計 訁➞言 十	plot	Plan
詮 訁➞言 全	elucidate	erörtern
獄 ⺨➞犬 言 犬	prison	Gefängnis
訂 訁➞言 丁✽	revise	korrigieren
訃 訁➞言 卜	obituary	Todesanzeige
討 訁➞言 寸✽	chastise	züchtigen
訓 訁➞言 川✽➞巛	instruction	Belehrung
詔 訁➞言 召✽	imperial edict	kaiserlicher Erlass
詰 訁➞言 吉✽	packed	stopfen
話 訁➞言 舌✽	tale	sprechen
詠 訁➞言 永✽	recitation	rezitieren
詩 訁➞言 寺✽	poem	Gedicht
語 訁➞言 吾✽	word	Sprache
読 訁➞言 売✽ 讀❄	read	lesen
